Year,Product,Imports ('000 Tonne),Exports ('000 Tonne)
1963,Crude Petroleum,604,0
1964,Crude Petroleum,2190,0
1965,Crude Petroleum,2261,0
1966,Crude Petroleum,2687,0
1967,Crude Petroleum,7433,2184
1968,Crude Petroleum,8745,2899
1969,Crude Petroleum,9018,3044
1970,Crude Petroleum,9121,3641
1971,Crude Petroleum,8715,6522
1972,Crude Petroleum,3838,3137
1973,Crude Petroleum,3256,2884
1974,Crude Petroleum,2826,2327
1975,Crude Petroleum,2807,3240
1976,Crude Petroleum,3239,6417
1977,Crude Petroleum,3771,7354
1978,Crude Petroleum,4225,9153
1979,Crude Petroleum,4426,12034
1980,Crude Petroleum,3961,11227
1981,Crude Petroleum,3552,10143
1982,Crude Petroleum,2540,11974
1983,Crude Petroleum,3701,14224
1984,Crude Petroleum,2553,16497
1985,Crude Petroleum,2252,16701
1986,Crude Petroleum,1933,18792
1987,Crude Petroleum,1563,17999
1988,Crude Petroleum,1509,19899
1989,Crude Petroleum,1019,21323
1990,Crude Petroleum,1004,22110
1991,Crude Petroleum,1084,22595
1992,Crude Petroleum,1138,22526
1993,Crude Petroleum,1672,21019
1994,Crude Petroleum,1538,19061
1995,Crude Petroleum,1271,19165
1996,Crude Petroleum,1397,17495
1997,Crude Petroleum,1256,15872
1998,Crude Petroleum,1929,18071
1999,Crude Petroleum,3247,17725
2000,Crude Petroleum,6963,16672
2001,Crude Petroleum,8559,15118
2002,Crude Petroleum,6845,16192
2003,Crude Petroleum,7991,17913
2004,Crude Petroleum,7888,18295
2005,Crude Petroleum,9145,18390
2006,Crude Petroleum,10322,16875
2007,Crude Petroleum,10529,16880
2008,Crude Petroleum,9228,16763
2009,Crude Petroleum,8917,16412
2010,Crude Petroleum,9067,16373
2011,Crude Petroleum,9687,12682
2012,Crude Petroleum,10854,11863
2013,Crude Petroleum,8931,11819
2014,Crude Petroleum,10433,12947
2015,Crude Petroleum,9021,15678
2016,Crude Petroleum,9865,15885
