year,action,trade_value($)
1995,Export,2582499988.0
1995,Import,129575866.0
1996,Export,2935114906.0
1996,Import,159394853.0
1997,Export,2575312388.0
1997,Import,149222376.0
1998,Export,1956867856.0
1998,Import,148974259.0
1999,Export,2434922794.0
1999,Import,323271051.0
2000,Export,3647466460.0
2000,Import,1174378002.0
2001,Export,2935652795.0
2001,Import,1393099753.0
2002,Export,2953897671.0
2002,Import,1155493268.0
2003,Export,3968124654.0
2003,Import,1429817021.0
2004,Export,5817805195.0
2004,Import,1880044389.0
2005,Export,8001669526.0
2005,Import,3101426171.0
2006,Export,9032729509.0
2006,Import,4365709441.0
2007,Export,9571583524.0
2007,Import,4856950731.0
2008,Export,13320164346.0
2008,Import,6492868651.0
2009,Export,7426521597.0
2009,Import,4418079947.0
2010,Export,10174278462.0
2010,Import,7645377117.0
2011,Export,11483375134.0
2011,Import,8355353601.0
2012,Export,10854713137.0
2012,Import,8675934141.0
2013,Export,10892665952.0
2013,Import,6945515650.0
2014,Export,11132082956.0
2014,Import,7595397896.0
2015,Export,7246674806.0
2015,Import,3750992838.0
2016,Export,6311644373.0
2016,Import,4731605868.0
2017,Export,7520494680.0
2017,Import,5702666597.0
2018,Export,10147343944.0
2018,Import,7250906508.0
2019,Export,7923633147.0
2019,Import,7052247494.0
2020,Export,5179276343.0
2020,Import,4742284214.0
2021,Export,6587548042.0
2021,Import,4923405837.0
