year,product,volume ('000 Tonne),action
1963,Crude Petroleum,604,import
1963,Crude Petroleum,0,export
1964,Crude Petroleum,2190,import
1964,Crude Petroleum,0,export
1965,Crude Petroleum,2261,import
1965,Crude Petroleum,0,export
1966,Crude Petroleum,2687,import
1966,Crude Petroleum,0,export
1967,Crude Petroleum,7433,import
1967,Crude Petroleum,2184,export
1968,Crude Petroleum,8745,import
1968,Crude Petroleum,2899,export
1969,Crude Petroleum,9018,import
1969,Crude Petroleum,3044,export
1970,Crude Petroleum,9121,import
1970,Crude Petroleum,3641,export
1971,Crude Petroleum,6522,export
1971,Crude Petroleum,8715,import
1972,Crude Petroleum,3137,export
1972,Crude Petroleum,3838,import
1973,Crude Petroleum,2884,export
1973,Crude Petroleum,3256,import
1974,Crude Petroleum,2826,import
1974,Crude Petroleum,2327,export
1975,Crude Petroleum,2807,import
1975,Crude Petroleum,3240,export
1976,Crude Petroleum,6417,export
1976,Crude Petroleum,3239,import
1977,Crude Petroleum,7354,export
1977,Crude Petroleum,3771,import
1978,Crude Petroleum,9153,export
1978,Crude Petroleum,4225,import
1979,Crude Petroleum,12034,export
1979,Crude Petroleum,4426,import
1980,Crude Petroleum,3961,import
1980,Crude Petroleum,11227,export
1981,Crude Petroleum,3552,import
1981,Crude Petroleum,10143,export
1982,Crude Petroleum,2540,import
1982,Crude Petroleum,11974,export
1983,Crude Petroleum,14224,export
1983,Crude Petroleum,3701,import
1984,Crude Petroleum,16497,export
1984,Crude Petroleum,2553,import
1985,Crude Petroleum,16701,export
1985,Crude Petroleum,2252,import
1986,Crude Petroleum,18792,export
1986,Crude Petroleum,1933,import
1987,Crude Petroleum,1563,import
1987,Crude Petroleum,17999,export
1988,Crude Petroleum,1509,import
1988,Crude Petroleum,19899,export
1989,Crude Petroleum,1019,import
1989,Crude Petroleum,21323,export
1990,Crude Petroleum,1004,import
1990,Crude Petroleum,22110,export
1991,Crude Petroleum,1084,import
1991,Crude Petroleum,22595,export
1992,Crude Petroleum,1138,import
1992,Crude Petroleum,22526,export
1993,Crude Petroleum,21019,export
1993,Crude Petroleum,1672,import
1994,Crude Petroleum,1538,import
1994,Crude Petroleum,19061,export
1995,Crude Petroleum,1271,import
1995,Crude Petroleum,19165,export
1996,Crude Petroleum,17495,export
1996,Crude Petroleum,1397,import
1997,Crude Petroleum,1256,import
1997,Crude Petroleum,15872,export
1998,Crude Petroleum,18071,export
1998,Crude Petroleum,1929,import
1999,Crude Petroleum,3247,import
1999,Crude Petroleum,17725,export
2000,Crude Petroleum,6963,import
2000,Crude Petroleum,16672,export
2001,Crude Petroleum,15118,export
2001,Crude Petroleum,8559,import
2002,Crude Petroleum,16192,export
2002,Crude Petroleum,6845,import
2003,Crude Petroleum,7991,import
2003,Crude Petroleum,17913,export
2004,Crude Petroleum,18295,export
2004,Crude Petroleum,7888,import
2005,Crude Petroleum,18390,export
2005,Crude Petroleum,9145,import
2006,Crude Petroleum,16875,export
2006,Crude Petroleum,10322,import
2007,Crude Petroleum,16880,export
2007,Crude Petroleum,10529,import
2008,Crude Petroleum,16763,export
2008,Crude Petroleum,9228,import
2009,Crude Petroleum,16412,export
2009,Crude Petroleum,8917,import
2010,Crude Petroleum,16373,export
2010,Crude Petroleum,9067,import
2011,Crude Petroleum,9687,import
2011,Crude Petroleum,12682,export
2012,Crude Petroleum,11863,export
2012,Crude Petroleum,10854,import
2013,Crude Petroleum,11819,export
2013,Crude Petroleum,8931,import
2014,Crude Petroleum,12947,export
2014,Crude Petroleum,10433,import
2015,Crude Petroleum,15678,export
2015,Crude Petroleum,9021,import
2016,Crude Petroleum,9865,import
2016,Crude Petroleum,15885,export
